"DyadResponse","IDIndividual1","IntruderID","Behavior_Not_approaching","Behavior_Losing_interest"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Losing interest","Ouli","No Intrusion","Other Behavior","Ouli"
"Losing interest","Ouli","No Intrusion","Other Behavior","Ouli"
"Losing interest","Ouli","No Intrusion","Other Behavior","Ouli"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Losing interest","Xin","No Intrusion","Other Behavior","Xin"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Losing interest","Xin; Ouli","No Intrusion","Other Behavior","Xin; Ouli"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin; Ouli","No Intrusion","Xin; Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","Obse; Sey","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Losing interest","Ouli","No Intrusion","Other Behavior","Ouli"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Ouli","No Intrusion","Ouli","Other Behavior"
